Step	Training Loss
1	1.784100
2	1.782500
3	1.775700
4	1.798300
5	1.778600
6	1.785700
7	1.791700
8	1.766100
9	1.839600
10	1.776500
11	1.815800
12	1.737600
13	1.829800
14	1.819900
15	1.781300
16	1.852500
17	1.838800
18	1.749500
19	1.741500
20	1.860000
21	1.813500
22	1.767700
23	1.840100
24	1.797600
25	1.826800
26	1.787700
27	1.797900
28	1.843900
29	1.816700
30	1.759300
31	1.776700
32	1.776600
33	1.767500
34	1.754200
35	1.754400
36	1.825800
37	1.747300
38	1.778400
39	1.764100
40	1.799100
41	1.774400
42	1.742800
43	1.752700
44	1.743700
45	1.764200
46	1.760600
47	1.712600
48	1.735600
49	1.774000
50	1.750400
51	1.733900
52	1.749000
53	1.709900
54	1.767600
55	1.720800
56	1.712800
57	1.719400
58	1.673900
59	1.712400
60	1.742600
61	1.739600
62	1.702300
63	1.682300
64	1.667600
65	1.679900
66	1.701600
67	1.660300
68	1.647300
69	1.685900
70	1.658800
71	1.620100
72	1.665800
73	1.664900
74	1.617100
75	1.675800
76	1.628500
77	1.626800
78	1.665500
79	1.557400
80	1.648600
81	1.547700
82	1.562600
83	1.520800
84	1.553700
85	1.534000
86	1.528800
87	1.506600
88	1.530200
89	1.514600
90	1.492200
91	1.479200
92	1.474000
93	1.421800
94	1.447100
95	1.476400
96	1.420900
97	1.417800
98	1.431600
99	1.381200
100	1.326400
101	1.402100
102	1.391200
103	1.333400
104	1.326400
105	1.354500
106	1.310700
107	1.321000
108	1.263100
109	1.248700
110	1.303400
111	1.286600
112	1.243800
113	1.305800
114	1.230800
115	1.234600
116	1.241800
117	1.224800
118	1.215500
119	1.210200
120	1.154100
121	1.216100
122	1.191400
123	1.201200
124	1.211200
125	1.169200
126	1.175000
127	1.209300
128	1.108900
129	1.136300
130	1.121800
131	1.099700
132	1.136000
133	1.089600
134	1.113800
135	1.149400
136	1.108800
137	1.096600
138	1.065400
139	1.075800
140	1.077400
141	1.101000
142	1.100700
143	1.095200
144	1.060500
145	1.054100
146	1.018200
147	1.037000
